mean_Length_of_IP_packets,std_Length_of_IP_packets,max_Length_of_IP_packets,min_Length_of_IP_packets,mean_Length_of_TCP_payload,std_Length_of_TCP_payload,max_Length_of_TCP_payload,min_Length_of_TCP_payload,Length_of_TCP_payload,mean_Time_difference_between_packets_per_session,std_Time_difference_between_packets_per_session,max_Time_difference_between_packets_per_session,min_Time_difference_between_packets_per_session,mean_Interval_of_arrival_time_of_forward_traffic,std_Interval_of_arrival_time_of_forward_traffic,max_Interval_of_arrival_time_of_forward_traffic,min_Interval_of_arrival_time_of_forward_traffic,mean_Interval_of_arrival_time_of_backward_traffic,std_Interval_of_arrival_time_of_backward_traffic,max_Interval_of_arrival_time_of_backward_traffic,min_Interval_of_arrival_time_of_backward_traffic,median_Time_difference_between_packets_per_session,mean_time_to_live,std_time_to_live,max_time_to_live,min_time_to_live,mean_TCP_windows_size_value,std_TCP_windows_size_value,max_TCP_windows_size_value,min_TCP_windows_size_value,median_TCP_windows_size_value,The_times_of_change_of_payload_per_session,Change_values_of_TCP_windows_length_per_session,src_ip,dst_ip,src_port,dst_port,protocol,bidirectional_duration_ms,bidirectional_packets,application_name,application_category_name,requested_server_name,flow_id,sent_ts
95.66666666666667,25.11307760244982,126,68,87.75,25.695330315059195,122,68,351,324.00000000000006,643.8769292341511,1474,0,540.0,808.8677271346656,1474,73,1546.0,0.0,1546,1546,72.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,208.103.161.1,10.8.1.3,443,35828,6,1620,6,TLS,Web,,208.103.161.1:443-10.8.1.3:35828-6-1776443819020,1776443844533
68.0,0.0,68,68,68.0,0.0,68,68,68,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,170.114.52.5,10.8.1.3,443,51884,6,0,2,TLS,Web,,170.114.52.5:443-10.8.1.3:51884-6-1776443829664,1776443845556
255.22222222222223,347.4096205410041,987,70,305.25,454.522735038267,987,73,1221,784.625,2064.4890019774175,5893,7,2057.6666666666665,3404.7056162513277,5989,70,1545.25,2962.784318283507,5989,11,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,10.8.1.3,142.251.155.119,43229,443,17,6277,9,QUIC,Web,,10.8.1.3:43229-142.251.155.119:443-17-1776443812147,1776443845560
68.0,0.0,68,68,68.0,0.0,68,68,68,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,170.114.52.5,10.8.1.3,443,45534,6,0,2,TLS,Web,,170.114.52.5:443-10.8.1.3:45534-6-1776443829794,1776443845564
85.33333333333333,15.143755588800728,96,68,82.0,19.79898987322333,96,68,164,146.0,206.47518010647187,292,0,292.0,0.0,292,292,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,10.8.1.3,170.114.2.76,36222,443,6,292,3,TLS,Web,,10.8.1.3:36222-170.114.2.76:443-6-1776443805418,1776443845568
85.33333333333333,15.143755588800728,96,68,80.0,16.97056274847714,92,68,160,36.0,50.91168824543142,72,0,72.0,0.0,72,72,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,104.18.39.21,10.8.1.3,443,50922,6,72,3,TLS,Web,,104.18.39.21:443-10.8.1.3:50922-6-1776443826572,1776443846581
95.66666666666667,25.11307760244982,126,68,87.75,25.695330315059195,122,68,351,43.8,39.53100049328375,73,0,73.0,0.0,73,73,147.0,0.0,147,147,72.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,208.103.161.1,10.8.1.3,443,35836,6,219,6,TLS,Web,,208.103.161.1:443-10.8.1.3:35836-6-1776443820433,1776443846585
85.33333333333333,15.143755588800728,96,68,80.0,16.97056274847714,92,68,160,36.0,50.91168824543142,72,0,72.0,0.0,72,72,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,104.18.39.21,10.8.1.3,443,52160,6,72,3,TLS,Web,,104.18.39.21:443-10.8.1.3:52160-6-1776443826926,1776443847606
92.44444444444444,21.892413703787387,126,68,85.33333333333333,21.740898478827106,122,68,512,3168.124999999999,5800.905654353834,12789,0,5069.0,6844.265263708005,12789,72,12636.5,317.49094475275984,12861,12412,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0,208.103.161.2,10.8.1.3,443,36026,6,25345,9,TLS,Web,,208.103.161.2:443-10.8.1.3:36026-6-1776443807709,1776443848629
805.1801801801801,654.503395340845,2100,68,126.32558139534888,311.2515994168301,2100,68,5432,4.554545454545454,16.56545890371213,97,0,11.928571428571427,25.484948075230847,98,0,6.029850746268658,17.80702121419639,99,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80,0,10.8.1.3,150.171.109.101,37726,443,6,501,111,TLS,Web,,10.8.1.3:37726-150.171.109.101:443-6-1776443810215,1776443848633
631.4230769230769,579.7854205187931,1294,65,506.1538461538461,564.1858213617575,1294,76,6580,23.480000000000004,45.74396135010609,147,0,48.91666666666667,62.396763222190145,150,0,34.5,56.664081937486486,147,0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0,10.8.1.3,142.250.75.67,34567,443,17,587,26,QUIC.Google,Web,beacons.gcp.gvt2.com,10.8.1.3:34567-142.250.75.67:443-17-1776443817354,1776443848638
85.33333333333333,15.143755588800728,96,68,80.0,16.97056274847714,92,68,160,36.0,50.91168824543142,72,0,72.0,0.0,72,72,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,104.20.45.92,10.8.1.3,443,47426,6,72,3,TLS,Web,,104.20.45.92:443-10.8.1.3:47426-6-1776443820241,1776443850677
92.44444444444444,21.892413703787387,126,68,85.33333333333333,21.740898478827106,122,68,512,3169.375,5915.853058580333,14733,0,5071.0,7013.661775420883,14733,72,12641.0,3061.7723625377507,14806,10476,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0,208.103.161.2,10.8.1.3,443,36020,6,25355,9,TLS,Web,,208.103.161.2:443-10.8.1.3:36020-6-1776443805765,1776443850680
